Goto	Main	0	25
*	8000	1202	13000
+	13000	8000	13001
-	5002	13001	13002
+	8000	13002	13003
=	13003	0	8001
==	8000	1203	14000
GotoF	14000	0	11
Ret	8000	0	22000
Goto	0	0	13
=	1204	0	x
Ret	1202	0	22000
EndProc	0	0	0
=	1203	0	8001
print	0	0	8001
<	8001	1200	14000
GotoF	14000	0	25
Ver	8001	0	1200
+	8001	1205	21000
*	8000	8001	13000
=	13000	0	21000
+	8001	1203	13001
=	13001	0	8001
Goto	0	0	15
EndProc	0	0	0
read	0	0	5002
=	1203	0	5002
*	5002	1202	13000
=	13000	0	5001
=	1203	0	5000
ERA	0	0	inicia
*	5002	5001	13001
-	13001	1206	13002
Param	13002	0	8000
GOSUB	inicia	14	25
Ver	5000	0	1200
+	5000	1205	21000
Ver	5000	0	1200
+	5000	1205	21001
ERA	0	0	fact
Ver	5000	0	1200
+	5000	1205	21002
-	21002	5002	13003
Param	13003	0	8000
GOSUB	fact	2	13
=	22000	0	13004
*	21001	13004	13005
=	13005	0	21000
Ver	5000	0	1201
*	5000	1201	13006
+	5000	5002	13007
Ver	13007	0	1200
+	13007	1205	21003
*	21003	5002	13008
Ver	13008	0	1200
+	13006	13008	13009
+	13009	1207	21004
Ver	5000	0	1200
+	5000	1205	21005
=	21005	0	21004
+	5000	1203	13010
=	13010	0	5000
<	5000	1200	14000
GotoV	14000	0	36
>=	5000	1203	14001
GotoF	14001	0	78
Ver	5000	0	1201
*	5000	1201	13011
*	5002	1202	13012
-	13012	5000	13013
Ver	13013	0	1200
+	13011	13013	13014
+	13014	1207	21006
print	0	0	21006
-	5000	1203	13015
=	13015	0	5000
Goto	0	0	64
EndProc	0	0	0
